Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_bicornis_Tr406_BIS2_Contig10096	TraesCS4A02G072800	1535	1.73025856044724	0	0.931596091205212	97.9036944055944
Ae_bicornis_Tr406_BIS2_Contig10098	TraesCS1A02G281600	1043	1.625	0	0.918504314477469	96.1505574112735
Ae_bicornis_Tr406_BIS2_Contig10100_simExt	TraesCS6A02G267300	1712	2.14247718342664	0	0.972546728971963	98.326
Ae_bicornis_Tr406_BIS2_Contig10104_simExt	TraesCS7A02G358700	2050	1.70794734275963	0	1	97.538
Ae_bicornis_Tr406_BIS2_Contig10105_simExt	TraesCS3A02G200800	1989	1.84749699329231	0	0.809954751131222	97.292
Ae_bicornis_Tr406_BIS2_Contig10110_simExt	TraesCS4A02G267500	1001	1.64802631578947	1.71293859649123e-153	0.895104895104895	96.7548973214286
Ae_bicornis_Tr406_BIS2_Contig10114_simExt	TraesCS5A02G014900	729	1.66931910455279	0	0.839506172839506	96.078
Ae_bicornis_Tr406_BIS2_Contig10119_simExt	TraesCS6A02G215900	1810	1.74104683195592	0	1	98.1545
Ae_bicornis_Tr406_BIS2_Contig10120_simExt	TraesCS1A02G045700	764	1.26329113924051	6.37974683544304e-51	0.99869109947644	90.4163499344692
Ae_bicornis_Tr406_BIS2_Contig10123_simExt	TraesCS3A02G047200	1298	1.97115611253543	0	0.912172573189522	95.186
Ae_bicornis_Tr406_BIS2_Contig10125_simExt	TraesCS1A02G203000	523	1.73954763536669	6.10418094585332e-23	0.978967495219885	98.1093841145833
Ae_bicornis_Tr406_BIS2_Contig10126_simExt	TraesCS3A02G370000	2457	1.74092131809011	7.9626092804304e-55	0.90964590964591	98.0814666666667
Ae_bicornis_Tr406_BIS2_Contig10127_simExt	TraesCS4A02G342700	2494	1.62310998735777	9.09380530973451e-15	0.920208500400962	96.0499374727669
Ae_bicornis_Tr406_BIS2_Contig10129_simExt	TraesCS5A02G322700	1841	1.90708542783657	0	0.967952199891363	95.703
