numacc,species_code,ind_code,spike_length_mm,spikelet_nb,tot3_fertile,tot_nb_fertile_fls,spikelet_length_mm,flower_length_mm,eta_len1,eta_len2,eta_len3,eta_len4,eta_len5,eta_len6,eta_wid1,eta_wid2,eta_wid3,eta_wid4,eta_wid5,eta_wid6,ova1,ova2,ova3,ova4,sti1,sti2,sti3,sti4,n_AF_splets,tot_AF_fertile
AE1330,Aca,Aca21,68,19,4,26,6.0928103562353,6.00747659090909,4.3178032653261,4.9828631541065,4.52438553245805,4.510322537985,4.57887959254395,4.75935810657084,0.519187031875721,0.520384338340441,0.535422748236187,0.480714998675786,0.531495129590246,0.54594908126046,1.36220974429439,0.888300113842197,1.39406568836317,NA,2.33655187534698,2.40902552909289,2.39101598584025,NA,6,2
KU-5472,Aca,Aca22,90,9,6,10,12.1784555284553,10.3319679268293,4.68117095519159,4.08905749045646,4.55857770722913,4.81807231833801,3.68819751565297,4.43268035458159,0.383858280722881,0.371915015380213,0.459754777543574,0.547296091962254,0.372924810609215,0.393192420845735,0.56801497024633,0.555699267619113,0.514150113543764,NA,1.75144681713742,1.47507514983014,1.59657877752063,NA,8,5
KU-5482,Aca,Aca24,NA,NA,NA,NA,NA,NA,3.68422585684449,4.0643076771617,4.23119987109686,3.97800546630062,3.71365640596381,4.07744296343021,0.420092859498286,0.65491049570073,0.54640485260118,0.593440357707231,0.574437366627093,0.605725628971354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AE1067,Aca,Aca25,84,7,1,1,12.713938452381,10.3788055952381,4.79860937024594,4.36790184881859,4.16125876976639,4.59821181596442,4.2325787464045,4.66478811626749,0.490498716783897,0.465226682475482,0.492567885373442,0.475596842954556,0.435590519730301,0.530773744283727,NA,NA,NA,NA,NA,NA,NA,NA,7,0
KU-5491,Aca,Aca30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41957059563812,1.21907487581465,0.577469502732301,NA,2.26043347333172,2.03387034447125,1.67914383822211,NA,NA,NA
PI551047,Aco,Aco03,48,4,0,1,11.3178154878646,9.02528613095238,4.27067619193577,4.11423266439434,4.20104962655207,3.98310722844877,4.25053172502432,3.94973477468555,0.461884307182899,0.463707457160969,0.633264737233061,0.511108523584788,0.536141050540392,0.477045586216023,NA,NA,NA,NA,NA,NA,NA,NA,5,7
PI551054,Aco,Aco05,60,5,0,0,12.3210145679012,9.96131228395062,3.92024539440833,3.83486091572297,4.29566548518132,3.64016086855263,4.30710876675293,4.48595347291941,0.449149692637286,0.668238686252853,0.543474536515901,0.533816009531593,0.595614748321128,0.632408221525101,NA,NA,NA,NA,NA,NA,NA,NA,4,1
AE1254,Aco,Aco24,56,5,2,4,11.079464496124,8.78382611111111,3.57923993194621,3.83031138661396,3.80658993291805,3.09776356820078,3.19150492490744,3.95473704629797,0.502902253670843,0.421839742294505,0.558276755958608,0.465186387521091,0.568170613067112,0.418637913839016,0.985031056183212,0.823694038362682,1.02104978459917,NA,2.05184652145756,2.14382969275512,2.61802829686519,NA,5,5
AE1257,Aco,Aco26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36939278703407,0.842909795262165,0.946278552895787,NA,2.70226844640933,2.40126293178145,1.85238017546206,NA,NA,NA
AE760,Aco,Aco27,72,8,6,14,9.09867089430894,7.29377956349206,2.47732010610647,2.41057295633876,3.96151272716098,2.52252853824194,2.19184837395956,2.43389143226505,0.372330361200675,0.348280217639765,0.374300838490304,0.414426626054071,0.324452225264522,0.400472867035113,1.29054533429583,1.1441387518919,0.717277326137555,NA,2.3986157667913,1.95911409134943,1.3004082443709,NA,9,23
