numacc,species_code,ind_code,spike_length_mm,spikelet_nb,tot3_fertile,tot_nb_fertile_fls,spikelet_length_mm,flower_length_mm,eta_len1,eta_len2,eta_len3,eta_len4,eta_len5,eta_len6,eta_wid1,eta_wid2,eta_wid3,eta_wid4,eta_wid5,eta_wid6,ova1,ova2,ova3,sti1,sti2,sti3,n_AF_splets,tot_AF_fertile,mean_eta_len,mean_eta_wid,eta_len_norm,eta_wid_norm,sti_mean,ova_mean,sti_norm,maleinvest,compactness,AF_index
KU-5491,Aca,Aca30,62.0080515595817,15.5651682322433,3.97501213931221,19.4637694384998,9.18986004014389,7.79218747318681,2.29361669709202,2.36934360551668,2.39884312250261,2.33159740449894,2.23627019505035,2.21427818407532,0.448768473171884,0.498782552230332,0.491315567567015,0.482951925984692,0.471347287473607,0.484028486226181,1.41957059563812,1.21907487581465,0.577469502732301,2.26043347333172,2.03387034447125,1.67914383822211,16.876539295542,21.9024598313291,2.30732486812265,0.479532382108952,0.296107463541174,0.0615401495098827,1.99114921867503,1.07203832472836,0.255531482722488,2.15227834201478,0.847911441430919,0.979472603490991
PI551047,Aco,Aco03,48,4,0,1,11.3178154878646,9.02528613095238,4.27067619193577,4.11423266439434,4.20104962655207,3.98310722844877,4.25053172502432,3.94973477468555,0.461884307182899,0.463707457160969,0.633264737233061,0.511108523584788,0.536141050540392,0.477045586216023,1.40205463281727,1.28890567554878,1.31639993037915,2.10229955189494,2.15099926106834,2.26866946213467,5,7,4.12822203517347,0.513858610319689,0.457406222392846,0.0569354370447493,2.17398942503265,1.3357867462484,0.240877618004477,3.09047985898027,0.797440649269255,1.4
PI551054,Aco,Aco05,60,5,0,0,12.3210145679012,9.96131228395062,3.92024539440833,3.83486091572297,4.29566548518132,3.64016086855263,4.30710876675293,4.48595347291941,0.449149692637286,0.668238686252853,0.543474536515901,0.533816009531593,0.595614748321128,0.632408221525101,1.57725277657022,1.43384103472249,1.4612044363262,2.31990104798484,2.38885080648252,2.51077809441783,4,1,4.08066581725627,0.57045031579731,0.409651429544169,0.0572665829096035,2.40650998296173,1.49076608253964,0.241585637952444,2.73729451256668,0.808481495501345,0.25
AE1254,Aco,Aco24,56,5,2,4,11.079464496124,8.78382611111111,3.57923993194621,3.83031138661396,3.80658993291805,3.09776356820078,3.19150492490744,3.95473704629797,0.502902253670843,0.421839742294505,0.558276755958608,0.465186387521091,0.568170613067112,0.418637913839016,0.985031056183212,0.823694038362682,1.02104978459917,2.05184652145756,2.14382969275512,2.61802829686519,5,5,3.57669113181407,0.489168944391862,0.407190566681384,0.0556897345421135,2.27123483702596,0.943258293048355,0.258570104678297,3.79184700327964,0.792802406125676,1.5
AE1257,Aco,Aco26,99.3561394842323,17.1954447009895,3.77317234205711,20.3210831990569,10.4396239161351,8.60162538887083,3.70823988428722,3.75908922659021,3.78698756209113,3.72277947804288,3.77020864005209,3.69658746048989,0.582459884355311,0.604388218614139,0.61087248569466,0.592616776005566,0.585713346292334,0.611780273471393,1.36939278703407,0.842909795262165,0.946278552895787,2.70226844640933,2.40126293178145,1.85238017546206,17.7297983373523,16.2609067433589,3.74064870859224,0.5979718307389,0.434876960979033,0.0695184693247143,2.31863718455095,1.05286037839734,0.269558028829168,3.55284402884097,0.823940158953091,0.72921496996683
AE760,Aco,Aco27,72,8,6,14,9.09867089430894,7.29377956349206,2.47732010610647,2.41057295633876,3.96151272716098,2.52252853824194,2.19184837395956,2.43389143226505,0.372330361200675,0.348280217639765,0.374300838490304,0.414426626054071,0.324452225264522,0.400472867035113,1.29054533429583,1.1441387518919,0.717277326137555,2.3986157667913,1.95911409134943,1.3004082443709,9,23,2.66627902234546,0.372377189280742,0.365555196607686,0.051054077798652,1.88604603417054,1.05065380410843,0.258582812621713,2.53773318282327,0.801631320466178,1.27777777777778
KU-17-2,Aco,Aco29,36,4,7,9,10.28081275,9.11594208333333,4.2171285956189,4.01186370842254,4.38682474894801,4.53021808809177,4.23147827318695,4.04514914175747,0.458068406437278,0.446140785244279,0.414730873193829,0.507481439939596,0.558804751312194,0.446117117264026,1.20816266175344,1.20176223189235,1.1002364163492,1.58309542537685,1.53344114580657,1.19403984012809,4,3,4.23711042600427,0.471890562231867,0.464802253817626,0.0517654190777083,1.4368588037705,1.17005376999833,0.157620440173431,3.62129547773716,0.886694690877755,0.321428571428571
PI318647,Alo,Alo04,130,10,5,14,11.9345466842214,10.1565750854701,5.49669618438663,5.51672757488817,5.64649039989238,5.31514655566281,5.33246946457281,5.10265717435583,0.596655937751872,0.645422168387806,0.604567209082568,0.600855825274053,0.477181927395656,0.474031960926027,0.886453441944406,1.16055882535434,1.54122159169082,1.91931616761253,2.72746672670835,1.99020825399368,12,11,5.40169789229311,0.566452504802997,0.531842461345136,0.0557719999149476,2.21233038277152,1.19607795299652,0.21782248092041,4.5161754539161,0.851023114174756,0.55
PI330486,Alo,Alo05,108,9,5,20,12.9943385185185,10.2259744642857,5.29435133728446,4.89119791241134,4.18918959088003,4.84611925189909,5.28469767273852,4.55284998876891,0.562170186572528,0.656956310741022,0.674906985277463,0.662386719275594,0.634505374566927,0.683484365100741,1.10579691879439,1.10155310219066,1.1304582128827,2.2502874432952,2.31245820648826,2.44929171326215,10,10,4.84306762566372,0.645734990255712,0.473604510022803,0.0631465482835838,2.33734578768187,1.11260274462258,0.228569491919334,4.35291720164378,0.786956138607014,0.6
AE1078,Alo,Alo20,122,15,5,30,12.6219878205128,10.7125877678571,4.18038890496404,4.25526437673268,4.2926754862592,4.17299958317034,4.26025239973352,4.20817811227006,0.614082103628105,0.653324502755446,0.631765880216397,0.635207317681558,0.63926010274115,0.641357882251337,1.63418062921738,1.60497154354359,1.41263287987942,2.0320167979055,2.29210414485113,1.87693804222131,14,3,4.22829314385497,0.635832964878999,0.394703244023062,0.0593538161513881,2.06701966165931,1.5505950175468,0.192952413221889,2.72688425798283,0.84872429923022,0.128571428571429
