start, end, rate
826000, 826999, 1.68674e-07
829000, 829999, 1.67898e-07
832000, 832999, 1.67125e-07
835000, 835999, 1.66355e-07
838000, 838999, 1.6559e-07
841000, 841999, 1.64827e-07
844000, 844999, 1.64068e-07
847000, 847999, 1.63313e-07
850000, 850999, 1.62561e-07
853000, 853999, 1.61813e-07
856000, 856999, 1.61068e-07
859000, 859999, 1.60326e-07
862000, 862999, 1.59588e-07
865000, 865999, 1.58854e-07
868000, 868999, 1.58122e-07
871000, 871999, 1.57394e-07
874000, 874999, 1.5667e-07
877000, 877999, 1.55948e-07
880000, 880999, 1.5523e-07
883000, 883999, 1.54516e-07
886000, 886999, 1.53804e-07
889000, 889999, 1.53096e-07
892000, 892999, 1.52392e-07
895000, 895999, 1.5169e-07
898000, 898999, 1.50992e-07
901000, 901999, 1.50296e-07
904000, 904999, 1.49605e-07
907000, 907999, 1.48916e-07
910000, 910999, 1.4823e-07
913000, 913999, 1.47548e-07
916000, 916999, 1.46869e-07
919000, 919999, 1.46192e-07
922000, 922999, 1.45519e-07
925000, 925999, 1.44849e-07
928000, 928999, 1.44183e-07
931000, 931999, 1.43519e-07
934000, 934999, 1.42858e-07
937000, 937999, 1.422e-07
940000, 940999, 1.41546e-07
943000, 943999, 1.40894e-07
946000, 946999, 1.40245e-07
949000, 949999, 1.396e-07
952000, 952999, 1.38957e-07
955000, 955999, 1.38317e-07
958000, 958999, 1.37681e-07
961000, 961999, 1.37047e-07
964000, 964999, 1.36416e-07
967000, 967999, 1.35788e-07
970000, 970999, 1.35163e-07
973000, 973999, 1.3454e-07
976000, 976999, 1.33921e-07
979000, 979999, 1.33304e-07
982000, 982999, 1.32691e-07
985000, 985999, 1.3208e-07
988000, 988999, 1.31472e-07
991000, 991999, 1.30867e-07
994000, 994999, 1.30264e-07
997000, 997999, 1.29664e-07
1000000, 1000999, 1.29067e-07
1003000, 1003999, 1.28473e-07
1006000, 1006999, 1.27882e-07
1009000, 1009999, 1.27293e-07
1012000, 1012999, 1.26707e-07
1015000, 1015999, 1.26124e-07
1018000, 1018999, 1.25543e-07
1021000, 1021999, 1.24965e-07
1024000, 1024999, 1.2439e-07
1027000, 1027999, 1.23817e-07
1030000, 1030999, 1.23247e-07
1033000, 1033999, 1.2268e-07
1036000, 1036999, 1.22115e-07
1039000, 1039999, 1.21553e-07
1042000, 1042999, 1.20993e-07
1045000, 1045999, 1.20436e-07
1048000, 1048999, 1.19882e-07
1051000, 1051999, 1.1933e-07
1054000, 1054999, 1.1878e-07
1057000, 1057999, 1.18233e-07
1060000, 1060999, 1.17689e-07
1063000, 1063999, 1.17147e-07
1066000, 1066999, 1.16608e-07
1069000, 1069999, 1.16071e-07
1072000, 1072999, 1.15537e-07
1075000, 1075999, 1.15005e-07
1078000, 1078999, 1.14475e-07
1081000, 1081999, 1.13948e-07
1084000, 1084999, 1.13424e-07
1087000, 1087999, 1.12902e-07
1090000, 1090999, 1.12382e-07
1093000, 1093999, 1.11865e-07
1096000, 1096999, 1.1135e-07
1099000, 1099999, 1.10837e-07
1102000, 1102999, 1.10327e-07
1105000, 1105999, 1.09819e-07
1108000, 1108999, 1.09313e-07
1111000, 1111999, 1.0881e-07
1114000, 1114999, 1.08309e-07
1117000, 1117999, 1.0781e-07
1120000, 1120999, 1.07314e-07
1123000, 1123999, 1.0682e-07
1126000, 1126999, 1.06328e-07
1129000, 1129999, 1.05839e-07
1132000, 1132999, 1.05351e-07
1135000, 1135999, 1.04866e-07
1138000, 1138999, 1.04384e-07
1141000, 1141999, 1.03903e-07
1144000, 1144999, 1.03425e-07
1147000, 1147999, 1.02949e-07
1150000, 1150999, 1.02475e-07
1153000, 1153999, 1.02003e-07
1156000, 1156999, 1.01533e-07
1159000, 1159999, 1.01066e-07
1162000, 1162999, 1.00601e-07
1165000, 1165999, 1.00137e-07
1168000, 1168999, 9.96764e-08
1171000, 1171999, 9.92175e-08
1174000, 1174999, 9.87607e-08
1177000, 1177999, 9.8306e-08
1180000, 1180999, 9.78534e-08
1183000, 1183999, 9.74029e-08
1186000, 1186999, 9.69545e-08
1189000, 1189999, 9.65082e-08
1192000, 1192999, 9.60639e-08
1195000, 1195999, 9.56216e-08
1198000, 1198999, 9.51814e-08
1201000, 1201999, 9.47432e-08
1204000, 1204999, 9.4307e-08
1207000, 1207999, 9.38729e-08
1210000, 1210999, 9.34407e-08
1213000, 1213999, 9.30105e-08
1216000, 1216999, 9.25823e-08
1219000, 1219999, 9.21561e-08
1222000, 1222999, 9.17318e-08
1225000, 1225999, 9.13095e-08
1228000, 1228999, 9.08891e-08
1231000, 1231999, 9.04707e-08
1234000, 1234999, 9.00542e-08
1237000, 1237999, 8.96396e-08
1240000, 1240999, 8.92269e-08
1243000, 1243999, 8.88161e-08
1246000, 1246999, 8.84073e-08
1249000, 1249999, 8.80003e-08
1252000, 1252999, 8.75951e-08
1255000, 1255999, 8.71919e-08
1258000, 1258999, 8.67904e-08
1261000, 1261999, 8.63909e-08
1264000, 1264999, 8.59932e-08
1267000, 1267999, 8.55973e-08
1270000, 1270999, 8.52032e-08
1273000, 1273999, 8.48109e-08
1276000, 1276999, 8.44205e-08
1279000, 1279999, 8.40318e-08
1282000, 1282999, 8.3645e-08
1285000, 1285999, 8.32599e-08
1288000, 1288999, 8.28766e-08
1291000, 1291999, 8.2495e-08
1294000, 1294999, 8.21152e-08
1297000, 1297999, 8.17372e-08
1300000, 1300999, 8.13609e-08
1303000, 1303999, 8.09863e-08
1306000, 1306999, 8.06135e-08
1309000, 1309999, 8.02424e-08
1312000, 1312999, 7.9873e-08
1315000, 1315999, 7.95052e-08
1318000, 1318999, 7.91392e-08
1321000, 1321999, 7.87749e-08
1324000, 1324999, 7.84122e-08
1327000, 1327999, 7.80512e-08
1330000, 1330999, 7.76919e-08
1333000, 1333999, 7.73342e-08
1336000, 1336999, 7.69782e-08
1339000, 1339999, 7.66238e-08
1342000, 1342999, 7.6271e-08
1345000, 1345999, 7.59199e-08
1348000, 1348999, 7.55704e-08
1351000, 1351999, 7.52225e-08
1354000, 1354999, 7.48762e-08
1357000, 1357999, 7.45315e-08
1360000, 1360999, 7.41883e-08
1363000, 1363999, 7.38468e-08
1366000, 1366999, 7.35068e-08
1369000, 1369999, 7.31684e-08
1372000, 1372999, 7.28316e-08
1375000, 1375999, 7.24963e-08
1378000, 1378999, 7.21625e-08
1381000, 1381999, 7.18303e-08
1384000, 1384999, 7.14996e-08
1387000, 1387999, 7.11704e-08
1390000, 1390999, 7.08428e-08
1393000, 1393999, 7.05166e-08
1396000, 1396999, 7.0192e-08
1399000, 1399999, 6.98688e-08
1402000, 1402999, 6.95472e-08
1405000, 1405999, 6.9227e-08
1408000, 1408999, 6.89083e-08
1411000, 1411999, 6.85911e-08
1414000, 1414999, 6.82753e-08
1417000, 1417999, 6.7961e-08
1420000, 1420999, 6.76481e-08
1423000, 1423999, 6.73366e-08
1426000, 1426999, 6.70266e-08
1429000, 1429999, 6.67181e-08
1432000, 1432999, 6.64109e-08
1435000, 1435999, 6.61052e-08
1438000, 1438999, 6.58008e-08
1441000, 1441999, 6.54979e-08
1444000, 1444999, 6.51964e-08
1447000, 1447999, 6.48962e-08
1450000, 1450999, 6.45975e-08
1453000, 1453999, 6.43001e-08
1456000, 1456999, 6.4004e-08
1459000, 1459999, 6.37094e-08
1462000, 1462999, 6.34161e-08
1465000, 1465999, 6.31241e-08
1468000, 1468999, 6.28335e-08
1471000, 1471999, 6.25442e-08
1474000, 1474999, 6.22563e-08
1477000, 1477999, 6.19697e-08
1480000, 1480999, 6.16844e-08
1483000, 1483999, 6.14004e-08
1486000, 1486999, 6.11177e-08
1489000, 1489999, 6.08364e-08
1492000, 1492999, 6.05563e-08
1495000, 1495999, 6.02775e-08
1498000, 1498999, 6.0e-08
1501000, 1501999, 6.0e-08
1504000, 1504999, 6.02775e-08
1507000, 1507999, 6.05563e-08
1510000, 1510999, 6.08364e-08
1513000, 1513999, 6.11177e-08
1516000, 1516999, 6.14004e-08
1519000, 1519999, 6.16844e-08
1522000, 1522999, 6.19697e-08
1525000, 1525999, 6.22563e-08
1528000, 1528999, 6.25442e-08
1531000, 1531999, 6.28335e-08
1534000, 1534999, 6.31241e-08
1537000, 1537999, 6.34161e-08
1540000, 1540999, 6.37094e-08
1543000, 1543999, 6.4004e-08
1546000, 1546999, 6.43001e-08
1549000, 1549999, 6.45975e-08
1552000, 1552999, 6.48962e-08
1555000, 1555999, 6.51964e-08
1558000, 1558999, 6.54979e-08
1561000, 1561999, 6.58008e-08
1564000, 1564999, 6.61052e-08
1567000, 1567999, 6.64109e-08
1570000, 1570999, 6.67181e-08
1573000, 1573999, 6.70266e-08
1576000, 1576999, 6.73366e-08
1579000, 1579999, 6.76481e-08
1582000, 1582999, 6.7961e-08
1585000, 1585999, 6.82753e-08
1588000, 1588999, 6.85911e-08
1591000, 1591999, 6.89083e-08
1594000, 1594999, 6.9227e-08
1597000, 1597999, 6.95472e-08
1600000, 1600999, 6.98688e-08
1603000, 1603999, 7.0192e-08
1606000, 1606999, 7.05166e-08
1609000, 1609999, 7.08428e-08
1612000, 1612999, 7.11704e-08
1615000, 1615999, 7.14996e-08
1618000, 1618999, 7.18303e-08
1621000, 1621999, 7.21625e-08
1624000, 1624999, 7.24963e-08
1627000, 1627999, 7.28316e-08
1630000, 1630999, 7.31684e-08
1633000, 1633999, 7.35068e-08
1636000, 1636999, 7.38468e-08
1639000, 1639999, 7.41883e-08
1642000, 1642999, 7.45315e-08
1645000, 1645999, 7.48762e-08
1648000, 1648999, 7.52225e-08
1651000, 1651999, 7.55704e-08
1654000, 1654999, 7.59199e-08
1657000, 1657999, 7.6271e-08
1660000, 1660999, 7.66238e-08
1663000, 1663999, 7.69782e-08
1666000, 1666999, 7.73342e-08
1669000, 1669999, 7.76919e-08
1672000, 1672999, 7.80512e-08
1675000, 1675999, 7.84122e-08
1678000, 1678999, 7.87749e-08
1681000, 1681999, 7.91392e-08
1684000, 1684999, 7.95052e-08
1687000, 1687999, 7.9873e-08
1690000, 1690999, 8.02424e-08
1693000, 1693999, 8.06135e-08
1696000, 1696999, 8.09863e-08
1699000, 1699999, 8.13609e-08
1702000, 1702999, 8.17372e-08
1705000, 1705999, 8.21152e-08
1708000, 1708999, 8.2495e-08
1711000, 1711999, 8.28766e-08
1714000, 1714999, 8.32599e-08
1717000, 1717999, 8.3645e-08
1720000, 1720999, 8.40318e-08
1723000, 1723999, 8.44205e-08
1726000, 1726999, 8.48109e-08
1729000, 1729999, 8.52032e-08
1732000, 1732999, 8.55973e-08
1735000, 1735999, 8.59932e-08
1738000, 1738999, 8.63909e-08
1741000, 1741999, 8.67904e-08
1744000, 1744999, 8.71919e-08
1747000, 1747999, 8.75951e-08
1750000, 1750999, 8.80003e-08
1753000, 1753999, 8.84073e-08
1756000, 1756999, 8.88161e-08
1759000, 1759999, 8.92269e-08
1762000, 1762999, 8.96396e-08
1765000, 1765999, 9.00542e-08
1768000, 1768999, 9.04707e-08
1771000, 1771999, 9.08891e-08
1774000, 1774999, 9.13095e-08
1777000, 1777999, 9.17318e-08
1780000, 1780999, 9.21561e-08
1783000, 1783999, 9.25823e-08
1786000, 1786999, 9.30105e-08
1789000, 1789999, 9.34407e-08
1792000, 1792999, 9.38729e-08
1795000, 1795999, 9.4307e-08
1798000, 1798999, 9.47432e-08
1801000, 1801999, 9.51814e-08
1804000, 1804999, 9.56216e-08
1807000, 1807999, 9.60639e-08
1810000, 1810999, 9.65082e-08
1813000, 1813999, 9.69545e-08
1816000, 1816999, 9.74029e-08
1819000, 1819999, 9.78534e-08
1822000, 1822999, 9.8306e-08
1825000, 1825999, 9.87607e-08
